类别,名称,食部 (%),蛋白质 (g),脂肪 (g),碳水化合物 (g),热量 (kcal),粗纤维 (g),钙 (g),磷 (g),铁 (g),胡萝卜素 (g),硫胺素 (g),核黄素 (g),尼克酸 (g),抗坏血酸 (g)
油脂及调味品类,白糖,100,0.3,0,99,397,0,82,,1.9,,,,,
油脂及调味品类,红糖,100,0.4,0,93.5,376,0,90,,4,,,0.09,0.6,0
油脂及调味品类,酱油,100,2,0,17.2,77,0.8,97,31,5,0,0.01,0.13,1.5,0
油脂及调味品类,甜面酱,100,7.3,2.1,27.3,157,2.5,51,127,4.5,,0.08,0.17,3.4,0
油脂及调味品类,豆瓣酱,100,10.7,9,12.9,175,1.6,99,165,7.9,,0.06,0.24,1.5,0
油脂及调味品类,醋,100,,,0.9,4,,65,135,1.1,0,0.03,0.05,0.7,0
油脂及调味品类,精盐,100,,,,,0,62,0,1.6,,,,,
蛋类,鸡蛋,85,14.7,11.6,1.6,170,0,55,210,2.7,1440,0.16,0.31,0.1,
蛋类,鸭蛋,87,8.7,9.8,10.3,164,0,71,210,3.2,1380,0.15,0.37,0.1,
乳及代乳品,人乳,100,1.5,3.7,6.9,67,0,34,15,0.1,250,0.01,0.04,0.1,6
乳及代乳品,牛乳,100,3.3,4,5,69,0,120,93,0.2,140,0.04,0.13,0.2,1
乳及代乳品,羊乳,100,3.8,4.1,4.3,69,0,140,106,0.1,80,0.05,0.13,0.13,
乳及代乳品,代乳粉,100,17.1,10.2,62.9,412,0.7,653,338,4.8,0.2,0.47,0.76,1.4,0
肉及禽类,肥瘦猪肉,100,9.5,59.8,0.9,580,0,6,101,1.4,,0.53,0.12,4.2,
肉及禽类,咸肉,100,14.4,21.8,3.3,267,0,31,109,2.3,,,0.24,0.3,
肉及禽类,猪舌,96,16.5,12.7,1.8,188,0,20,118,2.4,0,0.08,0.23,3,0
肉及禽类,猪心,78,19.1,6.3,0,133,0,45,102,2.5,0,0.34,0.52,5.7,1
肉及禽类,猪肝,100,21.3,4.5,1.4,131,0,11,270,25,8700,0.4,2.11,16.2,18
肉及禽类,猪肾,89,15.5,4.8,0.7,108,0,,228,7.1,,0.38,1.12,4.5,22
肉及禽类,猪肚,92,14.6,2.9,1.4,90,0,8,144,1.4,,0.05,0.18,2.5,0
肉及禽类,猪血,100,18.9,0.4,0.6,82,0,,,,,,,,
肉及禽类,肥瘦牛肉,100,20.1,10.2,0,172,0,7,170,0.9,0,0.07,0.15,6,
肉及禽类,牛肝,100,21.8,4.8,2.6,141,0,13,400,9,18300,0.39,2.3,16.2,18
肉及禽类,肥瘦羊肉,100,11.1,28.8,0.8,307,0,11,129,2,0,0.07,0.13,4.8,0
肉及禽类,羊肝,100,18.5,7.2,3.9,154,0,9,414,6.6,29900,0.42,3.57,18.9,17
肉及禽类,鸡,34,21.5,2.5,0.7,111,0,11,190,1.5,,0.03,0.09,8,
